TARA_7	TARA_9	TARA_18	TARA_22	TARA_23	TARA_25
3266052	25	59	18	14	27	10
6054039	23	56	18	10	23	17
5162378	28	60	15	13	18	11
5796144	28	60	15	16	15	14
2136322	28	59	16	20	22	12
4999382	32	61	16	12	14	10
1042494	34	59	13	22	15	10
5279106	30	67	12	25	25	11
4357979	25	59	11	10	12	18
865438	31	61	17	14	15	15
1812956	29	61	9	13	16	12
916969	34	60	18	16	13	17
5135064	31	61	17	21	11	18
5706697	35	63	13	12	14	12
876202	28	65	14	16	20	10
2208335	28	69	14	21	28	12
707946	39	66	15	11	11	14
2803085	26	57	10	20	9	20
6527349	29	57	10	10	11	10
3027419	41	67	12	22	27	15
1493812	35	60	17	20	15	18
5629727_1	32	52	19	10	13	12
5629727_2	32	52	19	10	13	12
5629727_3	32	52	19	10	13	12
4010919	24	49	22	13	15	12
5655654	34	55	15	18	15	12
1490139	30	66	17	21	19	9
2106114	31	57	19	15	18	19
391634	33	62	12	12	24	10
5550010	30	66	19	22	18	15
2487196	27	67	12	17	14	18
1249042_1	32	49	13	16	15	19
1249042_2	32	49	13	16	15	19
1249042_3	32	49	13	16	15	19
174539	25	69	12	23	23	12
5255071	27	62	14	24	18	15
1025630	27	62	15	19	13	14
2680505	30	61	15	12	28	18
796305	33	70	17	22	25	11
1469665	24	53	20	18	13	15
236195	34	66	21	12	23	10
1221074	35	57	16	17	21	12
5016919	32	69	17	16	28	9
4993426	25	59	12	16	21	16
2170236	34	61	19	9	10	20
1911568	27	56	20	10	21	13
1771916	34	63	19	13	11	17
2507600	32	71	11	14	23	12
122037	32	51	18	19	21	10
5144026	29	55	12	12	10	14
94261	32	63	15	18	26	13
639500_1	35	49	18	10	12	17
639500_2	35	49	18	10	12	17
253519	34	56	19	9	9	9
409581	25	51	18	17	23	10
2321105_1	42	52	17	16	12	14
2321105_2	42	52	17	16	12	14
117181	36	58	11	19	20	12
156801	25	61	11	16	18	17
2715485	33	53	12	16	13	17
435614	26	61	14	15	22	19
768073	29	57	17	21	21	15
1943011	33	53	18	16	25	10
295620	22	49	14	20	9	12
19894	32	67	16	18	25	16
1002916	24	56	14	13	16	19
5487952	36	65	17	13	21	9
4222135	22	64	19	19	18	9
295374	34	70	9	22	25	13
4373435	31	47	12	9	17	15
1916181	23	55	18	14	13	10
328350	34	66	15	23	27	9
629288	27	72	16	16	24	19
2847374	32	49	17	12	16	15
682495	25	43	18	13	14	9
4283691	25	63	10	19	14	21
2545553	39	57	21	17	23	20
329818	31	59	15	14	16	14
5318976	23	53	22	20	20	14
286835	37	61	11	12	17	22
5049311	32	55	21	12	10	19
5157351	21	51	16	11	15	9
1904391_1	29	61	17	23	28	11
1904391_2	29	61	17	23	28	11
2552630	25	50	13	10	22	10
1944338	28	65	19	21	21	17
5306320	35	65	20	16	22	22
1070163	38	66	13	12	21	19
3132054	21	50	18	11	12	16
5807062	38	64	16	15	24	18
872349	30	63	9	20	22	14
324468	31	62	14	9	11	12
395031	29	67	21	20	21	12
1515344	43	54	15	11	13	15
48128	28	50	9	13	9	11
585545	39	65	14	23	23	10
2026523	34	49	10	15	18	15
2609804	33	63	14	14	12	14
1262773	22	51	20	10	15	13
6104527	29	65	15	14	13	22
4935378_1	32	55	22	21	19	13
4935378_2	32	55	22	21	19	13
2680852	28	63	14	17	17	19
296939	23	64	17	17	19	14
6312724	37	62	14	17	9	18
1894870	23	54	13	23	14	9
3304636_1	32	61	11	20	10	18
3304636_2	32	61	11	20	10	18
5214376_1	29	63	22	21	20	10
5214376_2	29	63	22	21	20	10
2052975	27	71	15	13	23	17
3898610	31	61	10	23	21	18
4905760	38	61	13	15	24	12
2039494	35	72	15	25	24	9
2669127	33	44	11	12	17	10
141554	33	70	22	19	21	12
1706149	36	65	17	15	9	16
6495200	23	62	21	17	12	12
786577	21	49	15	11	18	10
2278957	35	50	10	24	9	18
5373527	36	67	17	19	28	15
768408	39	61	15	13	22	16
2532566	38	64	9	20	13	19
5726265	28	59	15	19	23	21
643276	39	60	19	18	18	13
4126604	31	54	15	10	16	20
1766665	39	66	15	15	20	17
1780754	27	72	14	12	26	17
39400	23	51	16	16	14	22
1118653	29	52	14	17	26	12
4905511	23	54	15	19	17	11
5927839	22	46	11	13	9	11
5087	36	60	21	9	16	13
2289203	27	58	12	21	27	9
2353153	26	56	12	18	23	14
132566	32	66	13	19	16	19
177313	40	71	17	13	28	12
1761520_1	36	52	11	12	11	10
1761520_2	36	52	11	12	11	10
440323_1	24	51	12	18	22	12
440323_2	24	51	12	18	22	12
1475051	41	53	10	10	10	14
610722	38	65	15	17	23	13
2590689	28	65	18	12	17	18
5477976	24	67	21	19	26	19
5292554	36	54	15	20	11	20
5140422	36	47	14	14	10	17
1828648	34	71	15	19	22	16
5184638	24	61	11	18	14	14
802152_1	35	71	22	23	24	13
802152_2	35	71	22	23	24	13
802152_3	35	71	22	23	24	13
134463	25	54	10	21	11	11
479015	34	67	21	22	23	20
3638701	39	65	14	17	24	12
1477927	23	47	19	12	13	11
2463484	27	70	17	15	23	13
2147464	30	57	11	10	14	20
583282	39	64	16	17	20	16
294531	33	49	13	20	9	11
230777	28	51	20	13	14	12
3693830	38	58	21	17	24	17
2197591	37	57	15	18	12	17
666053	30	60	13	19	21	12
4151735_1	36	49	15	17	17	14
4151735_2	36	49	15	17	17	14
6007998	42	67	20	16	22	11
3179012	43	69	22	19	24	15
1871715	24	50	12	12	17	10
3684390	37	64	13	14	9	18
365768	28	71	21	23	20	13
1792058	37	64	15	16	26	10
5294525	28	47	17	10	17	12
5879329	27	69	18	12	25	15
2518268	29	55	12	9	14	9
5137801_1	38	59	13	19	21	16
5137801_2	38	59	13	19	21	16
2965978	23	50	18	12	15	12
899773	41	64	20	15	22	17
5816869	23	62	13	17	11	17
5257286	27	71	13	22	21	19
2022110	35	51	11	12	11	20
851983	36	46	12	19	10	16
5633719	31	49	11	11	19	9
2361583	29	46	13	10	19	9
11372	34	59	15	12	12	10
4633759	26	63	15	12	18	15
3248162	34	65	13	10	10	9
1036452	31	55	16	9	23	10
4949745	31	61	10	13	19	19
3907767	35	67	12	19	20	9
146629	31	61	15	14	13	19
907817	33	56	15	22	19	11
5069319	43	68	12	18	25	15
3812239	40	71	16	20	28	16
3900989	37	69	11	21	28	19
4556731	29	68	17	15	23	15
1596355_1	42	68	21	18	24	21
1596355_2	42	68	21	18	24	21
4993335	36	61	17	20	13	12
1852558	24	56	21	15	15	17
1311079	34	65	16	21	17	13
12037	39	61	20	17	28	13
704354	25	59	18	15	19	12
6485286	34	59	15	10	19	15
4383485	41	65	17	15	28	17
408534	32	63	14	13	16	14
2920459	26	61	12	18	9	19
1992115	35	56	17	21	27	11
5361993	40	72	16	19	27	14
2107223	27	62	11	23	24	18
1895887	21	54	10	15	21	14
2711335	33	62	22	14	10	14
4932186	29	67	12	12	15	11
3891940	37	52	15	15	15	12
5800569	42	62	17	24	28	18
2482002	34	51	17	15	21	18
5005947	27	66	11	23	17	13
829912	29	65	13	16	20	21
4934619	27	65	12	19	17	20
4232788	31	62	17	23	22	19
760410	29	68	13	14	27	18
5117756	28	62	16	23	26	10
667988	31	65	19	15	18	11
2710344	34	69	13	15	18	10
4227236	28	47	17	13	10	14
986941	40	67	13	15	24	12
1820842	37	67	10	15	28	20
4277936	30	54	18	14	10	18
1032973	36	55	9	10	15	12
4211177	33	63	18	17	21	10
6022966	28	71	15	22	27	20
328590	24	57	15	22	22	16
5435	25	67	20	18	27	9
2477735	35	67	12	22	23	12
204761	24	55	21	11	10	17
2820566	31	55	22	18	18	11
5232598	21	55	13	20	15	11
360882	29	59	11	20	12	13
5721580	30	58	12	20	15	19
1236611	25	66	19	15	20	15
320889	24	49	14	9	18	15
2694108	36	53	14	17	17	9
5611374	29	58	11	17	9	12
88446	25	58	15	16	12	22
3350008	34	71	21	22	20	19
2808069	38	62	14	11	14	15
2154881	32	53	16	14	13	16
718067	27	56	13	16	14	12
4859700_1	24	47	12	10	14	18
4859700_2	24	47	12	10	14	18
6257530	32	60	16	9	20	11
876131	30	59	21	21	25	18
1110665	40	58	10	14	18	17
5693580	22	59	13	14	18	13
1780137	40	69	16	23	26	19
1771421	26	53	11	12	9	12
3004975	33	62	13	18	20	10
3186837	35	67	15	18	16	21
5010294	33	70	12	16	17	14
153495	25	69	15	19	22	11
812364	31	67	9	17	24	10
44415	29	53	15	10	26	11
241712	29	50	17	13	26	9
1493965_1	33	62	16	9	18	19
1493965_2	33	62	16	9	18	19
2088163	27	56	15	12	19	14
2230307	30	55	14	23	17	15
707355	31	55	20	21	12	11
2503012	36	69	16	14	26	18
1268094	26	71	17	15	27	12
3649431	39	63	14	10	12	17
3922919_1	32	69	17	12	16	17
3922919_2	32	69	17	12	16	17
2033400	25	59	16	16	17	18
3240685	38	64	12	14	22	15
694302	28	58	13	16	14	13
2029041	33	72	12	20	19	14
2449447	34	68	18	12	28	11
537247	34	50	11	22	13	18
4897508_1	39	57	14	12	19	17
4897508_2	39	57	14	12	19	17
1227473	28	72	21	17	27	11
2903043	22	62	19	23	23	14
1824457	25	47	13	11	18	16
2445155	39	63	16	16	18	13
4220896	28	63	19	19	12	20
5502929	32	62	13	24	20	18
61351	24	50	11	18	14	9
4819191	32	62	16	19	27	10
4018427_1	34	71	11	14	14	16
4018427_2	34	71	11	14	14	16
3543222	23	68	20	16	22	16
896169	26	56	19	16	26	9
1271257	35	60	16	17	18	9
5989507	30	49	18	11	20	17
2802155	29	58	21	23	22	9
2573523	34	61	13	20	26	12
6231584	30	70	17	20	25	14
6188772_1	31	69	11	12	18	16
6188772_2	31	69	11	12	18	16
5168484	29	56	17	13	24	13
440102_1	36	63	13	11	10	19
440102_2	36	63	13	11	10	19
668807	32	64	19	12	13	19
5114143	21	53	10	9	10	11
441463	31	53	11	14	12	13
2393370	27	64	16	20	26	15
3953354	31	63	14	18	24	9
4459005	27	72	20	23	25	22
1380835	33	72	15	21	27	13
4324520	34	57	10	17	14	14
2129237	32	62	11	21	12	21
5739889	25	51	17	11	11	19
334567	35	44	14	15	10	9
2545911	34	62	15	9	12	17
789463_1	26	54	17	16	24	18
789463_2	26	54	17	16	24	18
789463_3	26	54	17	16	24	18
2061797_1	38	54	9	20	12	14
2061797_2	38	54	9	20	12	14
1859319	37	71	12	19	25	18
5175666_1	31	67	17	13	13	20
5175666_2	31	67	17	13	13	20
678647_1	29	61	16	19	24	18
678647_2	29	61	16	19	24	18
6045577	36	61	20	12	27	17
29480	38	60	13	22	27	15
1572513	28	70	10	20	26	17
5638690	22	58	14	20	20	12
5666305	27	48	11	21	12	13
1530477	37	59	22	17	23	22
1980470	35	64	9	11	11	20
1019944	33	63	16	15	15	14
1968180	33	56	18	17	10	14
2810796	31	55	14	16	21	10
2087316	29	68	21	19	21	16
2819880	32	51	11	14	17	20
5182259	31	65	22	15	19	13
5127400	31	57	17	22	14	14
6072800	30	53	19	17	14	14
3742208	31	49	13	10	21	9
5134556	39	72	20	17	26	15
1859709	28	53	13	23	16	12
2785348	22	63	14	14	17	12
912169	34	61	14	10	12	14
5057799	32	66	17	12	12	20
320759	25	62	16	13	16	14
5597403	35	57	11	24	22	11
1806349	24	64	13	18	15	15
365166	42	65	22	19	28	11
947494	30	59	15	24	16	12
5195574_1	24	71	15	14	28	12
5195574_2	24	71	15	14	28	12
1815420	22	49	14	9	12	16
1530383	37	58	16	21	10	20
458968_1	34	57	16	17	11	11
458968_2	34	57	16	17	11	11
1867043	27	57	21	22	11	13
5887800	40	70	22	23	27	13
5687903	41	64	12	11	18	16
142128	33	69	10	18	17	16
6182812	36	57	17	12	19	14
6436980	31	64	12	15	27	12
138824	38	52	18	19	11	10
2060592	37	71	18	13	24	11
2532538	28	69	12	16	19	15
787302	29	55	10	10	20	18
732441	40	67	18	13	27	19
3929921	32	49	9	17	10	18
1810525	34	67	12	17	24	9
4251559	27	45	12	11	14	19
1990077	33	49	15	17	17	17
804965	27	72	16	18	17	10
1489922	37	51	16	20	10	15
463103	29	52	11	15	12	13
2463365	27	56	19	9	15	15
5709420	27	69	18	15	13	12
5786101	37	54	18	20	12	15
1195600	43	49	9	19	9	18
18706	35	67	20	12	11	21
655630	31	58	13	19	9	17
2682558	33	57	10	22	22	15
6181467	31	69	16	18	28	15
5883925	33	66	20	18	12	13
1320038	22	61	18	16	22	9
2217836	25	62	19	18	27	17
5359131	41	61	18	15	19	14
1705505	27	56	14	19	10	13
693663	36	50	10	9	17	17
3563043	33	65	10	15	27	13
1708590	34	52	13	10	11	16
42992	34	50	19	24	17	14
5095650	28	65	9	19	12	10
5853376	25	59	22	16	12	10
5966014	31	66	12	23	27	15
824682	36	62	21	13	17	15
5134823_1	32	69	19	15	21	18
5134823_2	32	69	19	15	21	18
3043735	35	72	16	13	24	15
677	32	60	18	20	22	14
1764341	34	68	15	15	20	18
5630753	40	55	10	10	15	11
1944064	32	67	22	22	25	18
5076217	37	50	17	19	11	15
3232348	33	67	16	12	19	21
5185947	26	59	14	18	13	15
174571	29	56	18	15	10	13
4448710	30	65	11	20	18	11
4663728	22	60	19	17	13	15
2346407	36	69	13	16	23	14
498285	33	56	11	13	18	19
2005643	33	60	18	24	20	15
2206455	37	46	14	9	14	15
2021627	36	67	18	17	22	20
2889374	23	54	15	21	18	9
1056939	33	67	9	17	25	15
1505881	26	71	13	23	21	10
5111686	28	72	16	12	28	18
414567	42	54	14	20	11	18
248630	23	62	20	22	18	14
710444	33	57	10	18	26	11
1789804_1	25	56	12	10	19	17
1789804_2	25	56	12	10	19	17
290449	31	44	9	15	17	14
144427	32	59	22	19	20	14
5477870	35	68	21	17	27	15
1490246	38	70	17	21	28	18
3145011	25	46	17	12	13	10
292626	36	66	13	16	23	22
6023306	31	72	18	13	21	10
2683207	26	58	21	21	19	11
912097	35	62	13	11	22	16
2229618	35	65	9	16	15	18
33639	34	62	18	16	24	12
4952549	34	62	22	16	27	15
4368642	34	61	19	16	26	14
764893	32	72	14	19	27	14
1032680	36	72	16	16	27	19
1385233	30	62	14	15	16	9
2692316	38	60	9	18	19	14
1317182	37	62	9	15	12	14
3403014	28	65	19	18	19	18
5915732_1	27	53	21	15	16	13
5915732_2	27	53	21	15	16	13
5855060	24	49	17	14	12	14
1926661	35	65	18	14	23	18
5980211	33	69	10	15	21	17
2251723	26	63	13	18	28	17
7027	36	70	21	20	26	12
5662117	38	67	12	20	27	14
6011982	31	65	14	23	19	13
353127	27	51	15	13	10	16
4370	33	48	12	14	18	12
5227666	25	61	17	14	15	9
2041177	30	55	22	15	17	13
